,-1,1,neg_over_pos,pos_over_neg
aa,0.00681818181818,0.00452488687783,1.50681818182,0.663650075415
aaron,0.00454545454545,0.00678733031674,0.669696969697,1.49321266968
ab,0.0340909090909,0.0294117647059,1.15909090909,0.862745098039
aback,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abandoned,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abandoning,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abatement,0.00681818181818,0.00452488687783,1.50681818182,0.663650075415
abatements,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abbotsford,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abby,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abe,0.00454545454545,0.00678733031674,0.669696969697,1.49321266968
abercrombie,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
aberdeen,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abide,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abides,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abilities,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
ability,0.0409090909091,0.0226244343891,1.80818181818,0.553041729512
able,0.525,0.556561085973,0.943292682927,1.06011635423
abo,0.00454545454545,0.00678733031674,0.669696969697,1.49321266968
aboard,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abolish,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abolished,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abominable,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abortion,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abortions,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abou,0.00909090909091,0.00452488687783,2.00909090909,0.497737556561
abouts,0.00454545454545,0.00678733031674,0.669696969697,1.49321266968
abraham,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abreast,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abroad,0.00681818181818,0.0135746606335,0.502272727273,1.99095022624
abrupt,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abs,0.00454545454545,0.00904977375566,0.502272727273,1.99095022624
absence,0.00681818181818,0.00452488687783,1.50681818182,0.663650075415
absenteeism,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abso,0.0113636363636,0.00452488687783,2.51136363636,0.398190045249
absol,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
absolu,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
absolute,0.0181818181818,0.0316742081448,0.574025974026,1.74208144796
absolutely,0.240909090909,0.251131221719,0.959295659296,1.04243148638
absorb,0.00454545454545,0.00904977375566,0.502272727273,1.99095022624
absorbed,0.00454545454545,0.00678733031674,0.669696969697,1.49321266968
absorbing,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
abstract,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
absurd,0.00454545454545,0.027149321267,0.167424242424,5.97285067873
abundance,0.00454545454545,0.00452488687783,1.00454545455,0.995475113122
